input,output
please help me convert image to text the scanned document,please recognize text in the scanned document
could you please read the image,please recognize text in the image
convert image to text this document image,please perform OCR on this document image
could you please extract text from this document image,please extract text from this document image
could you please recognize text in the scanned document,please extract text from the scanned document
can you please read the screenshot,please perform OCR on the screenshot
i need to read the image,please perform OCR on the image
i need to convert image to text the image,please recognize text in the image
could you please extract text from the scanned document,please extract text from the scanned document
can you help me extract text from this document image,please extract text from this document image
would you convert image to text this document image,please perform OCR on this document image
can you perform OCR on the scanned document,please perform OCR on the scanned document
would you perform OCR on the image,please recognize text in the image
can you help me convert image to text the image,please extract text from the image
can you help me recognize text in this document image,please recognize text in this document image
could you get text from the screenshot,please perform OCR on the screenshot
can you help me get text from the scanned document,please extract text from the scanned document
can you recognize text in this document image,please recognize text in this document image
please help me extract text from the image,please perform OCR on the image
would you get text from the screenshot,please recognize text in the screenshot
can you recognize text in the screenshot,please perform OCR on the screenshot
would you extract text from the screenshot,please recognize text in the screenshot
please extract text from the screenshot,please recognize text in the screenshot
help me get text from the screenshot,please perform OCR on the screenshot
i need to convert image to text the scanned document,please perform OCR on the scanned document
help me read the screenshot,please perform OCR on the screenshot
please help me get text from the image,please extract text from the image
perform OCR on the screenshot,please recognize text in the screenshot
could you please convert image to text the scanned document,please perform OCR on the scanned document
can you please get text from this image,please recognize text in this image
could you please read this image,please extract text from this image
please extract text from this image,please recognize text in this image
could you extract text from this document image,please recognize text in this document image
help me perform OCR on this image,please perform OCR on this image
please read the screenshot,please extract text from the screenshot
please help me perform OCR on the scanned document,please recognize text in the scanned document
could you please extract text from the photo,please recognize text in the photo
please get text from the screenshot,please extract text from the screenshot
can you please get text from this image,please extract text from this image
can you please read the screenshot,please perform OCR on the screenshot
extract text from the photo,please perform OCR on the photo
could you recognize text in this document image,please extract text from this document image
help me get text from the scanned document,please recognize text in the scanned document
i need to get text from the screenshot,please recognize text in the screenshot
could you recognize text in this image,please recognize text in this image
can you please scan the image,please recognize text in the image
could you please extract text from this image,please perform OCR on this image
scan the scanned document,please extract text from the scanned document
could you get text from the image,please perform OCR on the image
i need to perform OCR on this document image,please recognize text in this document image
please help me convert image to text the photo,please recognize text in the photo
scan the scanned document,please extract text from the scanned document
i need to convert image to text the image,please extract text from the image
help me scan this document image,please recognize text in this document image
please scan this document image,please extract text from this document image
i need to recognize text in this image,please extract text from this image
i need to scan this image,please perform OCR on this image
can you please read this image,please recognize text in this image
please extract text from this image,please extract text from this image
help me read the scanned document,please recognize text in the scanned document
can you read this document image,please extract text from this document image
please help me scan the image,please extract text from the image
could you extract text from the screenshot,please perform OCR on the screenshot
could you please recognize text in the screenshot,please extract text from the screenshot
can you please perform OCR on the image,please recognize text in the image
please read the screenshot,please perform OCR on the screenshot
please recognize text in the photo,please perform OCR on the photo
could you please recognize text in the photo,please perform OCR on the photo
could you please scan the image,please perform OCR on the image
help me convert image to text the scanned document,please perform OCR on the scanned document
can you please perform OCR on the screenshot,please perform OCR on the screenshot
i need to perform OCR on the screenshot,please perform OCR on the screenshot
could you please convert image to text the screenshot,please perform OCR on the screenshot
i need to extract text from the photo,please recognize text in the photo
could you convert image to text the screenshot,please extract text from the screenshot
could you get text from the screenshot,please perform OCR on the screenshot
please help me get text from this image,please recognize text in this image
can you please read the photo,please recognize text in the photo
i need to convert image to text this image,please extract text from this image
help me get text from this image,please extract text from this image
can you extract text from this document image,please perform OCR on this document image
perform OCR on the photo,please extract text from the photo
help me convert image to text this document image,please recognize text in this document image
get text from the photo,please recognize text in the photo
help me extract text from the scanned document,please perform OCR on the scanned document
could you scan the scanned document,please recognize text in the scanned document
please help me convert image to text the scanned document,please perform OCR on the scanned document
i need to read the scanned document,please extract text from the scanned document
could you please perform OCR on the screenshot,please extract text from the screenshot
help me extract text from the image,please extract text from the image
could you convert image to text this document image,please recognize text in this document image
help me read the image,please extract text from the image
can you help me read this document image,please extract text from this document image
scan the image,please recognize text in the image
could you please get text from the image,please recognize text in the image
i need to read the image,please extract text from the image
help me read this image,please recognize text in this image
can you please read this image,please perform OCR on this image
can you please perform OCR on the screenshot,please perform OCR on the screenshot
would you extract text from the screenshot,please recognize text in the screenshot
scan this image,please perform OCR on this image
could you perform OCR on this image,please extract text from this image
can you please scan the photo,please perform OCR on the photo
help me get text from this document image,please recognize text in this document image
can you help me get text from the screenshot,please extract text from the screenshot
i need to read this image,please extract text from this image
please help me read the image,please recognize text in the image
can you please recognize text in this document image,please perform OCR on this document image
can you get text from this document image,please perform OCR on this document image
please convert image to text this document image,please extract text from this document image
can you please get text from the scanned document,please perform OCR on the scanned document
please help me perform OCR on the scanned document,please extract text from the scanned document
could you get text from this image,please recognize text in this image
can you please get text from the image,please extract text from the image
i need to convert image to text the photo,please recognize text in the photo
can you please scan this image,please extract text from this image
please perform OCR on the scanned document,please recognize text in the scanned document
help me scan this document image,please perform OCR on this document image
could you please get text from the image,please recognize text in the image
can you help me get text from the screenshot,please extract text from the screenshot
would you convert image to text this document image,please perform OCR on this document image
help me recognize text in the scanned document,please perform OCR on the scanned document
i need to scan the scanned document,please extract text from the scanned document
get text from this document image,please perform OCR on this document image
please help me scan the photo,please recognize text in the photo
can you convert image to text the image,please recognize text in the image
can you please scan this document image,please recognize text in this document image
please help me convert image to text this image,please extract text from this image
please help me get text from this image,please perform OCR on this image
can you recognize text in the scanned document,please perform OCR on the scanned document
could you please read this image,please recognize text in this image
i need to scan the screenshot,please extract text from the screenshot
can you help me scan this document image,please perform OCR on this document image
recognize text in the image,please extract text from the image
can you scan this document image,please perform OCR on this document image
please help me scan this image,please recognize text in this image
would you extract text from the scanned document,please extract text from the scanned document
could you please read the scanned document,please extract text from the scanned document
please help me recognize text in this document image,please recognize text in this document image
can you please read this document image,please recognize text in this document image
please help me get text from the photo,please perform OCR on the photo
could you please scan this document image,please extract text from this document image
can you extract text from the screenshot,please extract text from the screenshot
could you get text from the photo,please recognize text in the photo
can you help me perform OCR on the screenshot,please perform OCR on the screenshot
could you please convert image to text this image,please perform OCR on this image
can you help me read the scanned document,please extract text from the scanned document
could you extract text from this document image,please perform OCR on this document image
i need to perform OCR on the photo,please recognize text in the photo
could you perform OCR on this document image,please perform OCR on this document image
please scan this image,please perform OCR on this image
can you please read the photo,please recognize text in the photo
please read the scanned document,please extract text from the scanned document
read the image,please perform OCR on the image
scan the scanned document,please perform OCR on the scanned document
can you please perform OCR on the screenshot,please perform OCR on the screenshot
help me read the photo,please recognize text in the photo
could you please convert image to text the image,please perform OCR on the image
can you please extract text from the scanned document,please recognize text in the scanned document
help me scan this image,please extract text from this image
can you read the image,please recognize text in the image
could you extract text from the screenshot,please recognize text in the screenshot
can you please convert image to text the screenshot,please perform OCR on the screenshot
would you read the image,please recognize text in the image
please help me get text from this document image,please perform OCR on this document image
would you convert image to text this image,please recognize text in this image
i need to convert image to text the scanned document,please recognize text in the scanned document
get text from the scanned document,please recognize text in the scanned document
would you read the photo,please extract text from the photo
please help me extract text from the screenshot,please extract text from the screenshot
help me recognize text in the photo,please recognize text in the photo
can you convert image to text this image,please extract text from this image
could you please read this image,please perform OCR on this image
would you convert image to text the scanned document,please extract text from the scanned document
help me recognize text in this image,please recognize text in this image
can you read the screenshot,please recognize text in the screenshot
can you please extract text from the photo,please recognize text in the photo
would you get text from this image,please perform OCR on this image
scan the image,please extract text from the image
can you please convert image to text the photo,please perform OCR on the photo
please help me convert image to text the scanned document,please recognize text in the scanned document
please help me get text from the image,please perform OCR on the image
please perform OCR on the scanned document,please extract text from the scanned document
read the scanned document,please extract text from the scanned document
get text from the photo,please extract text from the photo
could you please extract text from the scanned document,please recognize text in the scanned document
would you extract text from this document image,please extract text from this document image
please help me perform OCR on this image,please extract text from this image
please help me get text from this image,please recognize text in this image
help me convert image to text this document image,please perform OCR on this document image
i need to read the scanned document,please recognize text in the scanned document
can you convert image to text the image,please recognize text in the image
can you get text from this document image,please extract text from this document image
could you please scan the scanned document,please recognize text in the scanned document
help me get text from this document image,please recognize text in this document image
please read this image,please extract text from this image
can you please scan this image,please extract text from this image
can you help me read the screenshot,please recognize text in the screenshot
can you please convert image to text the photo,please recognize text in the photo
could you get text from the scanned document,please recognize text in the scanned document
could you please scan the photo,please recognize text in the photo
please scan the image,please extract text from the image
could you please get text from the photo,please recognize text in the photo
i need to convert image to text the scanned document,please recognize text in the scanned document
can you please get text from the photo,please recognize text in the photo
help me get text from this document image,please extract text from this document image
i need to perform OCR on the screenshot,please extract text from the screenshot
please help me perform OCR on the photo,please extract text from the photo
can you help me scan this document image,please perform OCR on this document image
could you scan the screenshot,please extract text from the screenshot
please recognize text in the image,please recognize text in the image
i need to convert image to text the photo,please perform OCR on the photo
please help me read the photo,please extract text from the photo
please get text from the screenshot,please perform OCR on the screenshot
can you help me extract text from this document image,please extract text from this document image
could you get text from the photo,please perform OCR on the photo
could you please perform OCR on the image,please extract text from the image
can you help me get text from this image,please perform OCR on this image
please help me perform OCR on this image,please extract text from this image
can you help me read the image,please recognize text in the image
can you perform OCR on the screenshot,please extract text from the screenshot
can you perform OCR on the image,please perform OCR on the image
can you help me extract text from this image,please recognize text in this image
would you extract text from the scanned document,please recognize text in the scanned document
please help me get text from the image,please extract text from the image
please get text from the photo,please extract text from the photo
can you please read the image,please recognize text in the image
please perform OCR on the scanned document,please recognize text in the scanned document
convert image to text the screenshot,please perform OCR on the screenshot
can you get text from the scanned document,please perform OCR on the scanned document
can you help me perform OCR on the photo,please recognize text in the photo
can you please read the scanned document,please extract text from the scanned document
please get text from this document image,please perform OCR on this document image
i need to extract text from the photo,please perform OCR on the photo
can you read the screenshot,please recognize text in the screenshot
please scan the scanned document,please recognize text in the scanned document
can you help me convert image to text the photo,please recognize text in the photo
can you please convert image to text the screenshot,please extract text from the screenshot
can you recognize text in the image,please perform OCR on the image
please help me extract text from the screenshot,please extract text from the screenshot
i need to perform OCR on the screenshot,please extract text from the screenshot
could you extract text from the image,please perform OCR on the image
would you scan the screenshot,please extract text from the screenshot
i need to extract text from the scanned document,please recognize text in the scanned document
could you please scan this document image,please perform OCR on this document image
could you please extract text from the image,please recognize text in the image
would you convert image to text this document image,please extract text from this document image
can you please get text from the scanned document,please perform OCR on the scanned document
recognize text in the screenshot,please recognize text in the screenshot
can you please extract text from this document image,please extract text from this document image
can you help me recognize text in this image,please perform OCR on this image
would you recognize text in this document image,please perform OCR on this document image
could you extract text from the photo,please extract text from the photo
please get text from the screenshot,please extract text from the screenshot
can you extract text from the screenshot,please recognize text in the screenshot
could you please get text from this document image,please extract text from this document image
would you scan the scanned document,please extract text from the scanned document
please help me convert image to text the image,please perform OCR on the image
can you please extract text from the screenshot,please extract text from the screenshot
could you read this image,please extract text from this image
can you please extract text from the image,please recognize text in the image
could you please scan the photo,please extract text from the photo
could you please get text from this image,please extract text from this image
can you help me get text from this image,please perform OCR on this image
help me convert image to text the photo,please perform OCR on the photo
help me convert image to text this image,please extract text from this image
recognize text in the scanned document,please perform OCR on the scanned document
can you extract text from the scanned document,please perform OCR on the scanned document
could you read this document image,please recognize text in this document image
would you convert image to text this image,please extract text from this image
could you read the image,please perform OCR on the image
i need to convert image to text this image,please recognize text in this image
can you read the image,please extract text from the image
could you scan the scanned document,please extract text from the scanned document
can you extract text from the scanned document,please perform OCR on the scanned document
could you please read the image,please recognize text in the image
would you scan the scanned document,please extract text from the scanned document
help me convert image to text this image,please perform OCR on this image
i need to extract text from the photo,please extract text from the photo
could you please scan the screenshot,please extract text from the screenshot
could you perform OCR on this document image,please recognize text in this document image
i need to convert image to text this document image,please recognize text in this document image
please get text from the scanned document,please extract text from the scanned document
i need to recognize text in the screenshot,please perform OCR on the screenshot
can you help me extract text from the screenshot,please recognize text in the screenshot
could you recognize text in this document image,please recognize text in this document image
please extract text from this image,please extract text from this image
please help me scan the photo,please recognize text in the photo
please help me recognize text in the image,please extract text from the image
help me scan the image,please recognize text in the image
please help me convert image to text this image,please perform OCR on this image
i need to convert image to text the photo,please perform OCR on the photo
can you please convert image to text this image,please perform OCR on this image
can you please get text from the screenshot,please perform OCR on the screenshot
could you recognize text in the image,please extract text from the image
can you scan this image,please perform OCR on this image
could you get text from the scanned document,please recognize text in the scanned document
can you help me get text from this document image,please extract text from this document image
recognize text in the scanned document,please perform OCR on the scanned document
please help me recognize text in the photo,please perform OCR on the photo
extract text from the screenshot,please extract text from the screenshot
can you please recognize text in the screenshot,please recognize text in the screenshot
could you please recognize text in the photo,please perform OCR on the photo
can you perform OCR on this image,please recognize text in this image
could you please convert image to text this image,please extract text from this image
can you please read the scanned document,please perform OCR on the scanned document
can you please get text from this image,please extract text from this image
can you extract text from the image,please extract text from the image
help me extract text from this image,please perform OCR on this image
could you scan the image,please extract text from the image
could you please extract text from this document image,please perform OCR on this document image
help me read the scanned document,please recognize text in the scanned document
can you please recognize text in the scanned document,please perform OCR on the scanned document
can you please recognize text in this image,please recognize text in this image
can you extract text from this image,please perform OCR on this image
could you please perform OCR on the image,please extract text from the image
please convert image to text the scanned document,please perform OCR on the scanned document
convert image to text the image,please perform OCR on the image
can you help me convert image to text the scanned document,please extract text from the scanned document
help me scan the scanned document,please extract text from the scanned document
i need to scan this document image,please extract text from this document image
perform OCR on the photo,please extract text from the photo
please help me extract text from the scanned document,please perform OCR on the scanned document
i need to recognize text in the screenshot,please perform OCR on the screenshot
help me scan this image,please perform OCR on this image
read the image,please recognize text in the image
would you read this document image,please perform OCR on this document image
please get text from the scanned document,please recognize text in the scanned document
could you read the image,please extract text from the image
can you help me perform OCR on the image,please perform OCR on the image
can you please scan this image,please extract text from this image
i need to get text from this document image,please perform OCR on this document image
can you help me convert image to text the photo,please extract text from the photo
could you please read the scanned document,please extract text from the scanned document
can you read this document image,please recognize text in this document image
can you help me extract text from this image,please extract text from this image
would you convert image to text this image,please perform OCR on this image
i need to recognize text in this image,please perform OCR on this image
could you get text from the photo,please recognize text in the photo
can you get text from the screenshot,please perform OCR on the screenshot
help me convert image to text the image,please recognize text in the image
could you recognize text in the scanned document,please recognize text in the scanned document
can you help me read this document image,please perform OCR on this document image
can you help me extract text from the scanned document,please perform OCR on the scanned document
read the image,please perform OCR on the image
can you scan this document image,please extract text from this document image
i need to convert image to text the screenshot,please perform OCR on the screenshot
can you please recognize text in the scanned document,please recognize text in the scanned document
would you recognize text in the image,please extract text from the image
can you recognize text in the photo,please extract text from the photo
can you please read the screenshot,please extract text from the screenshot
could you please perform OCR on this image,please recognize text in this image
please perform OCR on the image,please perform OCR on the image
help me perform OCR on this document image,please recognize text in this document image
can you recognize text in this document image,please extract text from this document image
could you please read this image,please recognize text in this image
get text from the screenshot,please extract text from the screenshot
could you recognize text in the image,please recognize text in the image
please help me extract text from the photo,please recognize text in the photo
please help me perform OCR on this image,please recognize text in this image
help me recognize text in this document image,please extract text from this document image
can you scan the scanned document,please recognize text in the scanned document
can you scan the image,please recognize text in the image
read the screenshot,please recognize text in the screenshot
perform OCR on the screenshot,please perform OCR on the screenshot
can you help me extract text from the photo,please extract text from the photo
recognize text in the image,please perform OCR on the image
help me recognize text in the photo,please recognize text in the photo
can you please scan the photo,please extract text from the photo
can you please get text from the screenshot,please perform OCR on the screenshot
please get text from this document image,please extract text from this document image
please read the screenshot,please perform OCR on the screenshot
please recognize text in the screenshot,please perform OCR on the screenshot
help me perform OCR on this document image,please perform OCR on this document image
please help me scan this document image,please perform OCR on this document image
please convert image to text the screenshot,please perform OCR on the screenshot
can you help me perform OCR on the photo,please extract text from the photo
please recognize text in the screenshot,please perform OCR on the screenshot
i need to read this document image,please extract text from this document image
please extract text from the scanned document,please recognize text in the scanned document
i need to read the screenshot,please recognize text in the screenshot
can you help me convert image to text the image,please recognize text in the image
please perform OCR on the screenshot,please extract text from the screenshot
can you get text from this document image,please recognize text in this document image
please help me convert image to text the scanned document,please perform OCR on the scanned document
please recognize text in the photo,please perform OCR on the photo
could you please read this document image,please perform OCR on this document image
help me scan the photo,please recognize text in the photo
scan the screenshot,please extract text from the screenshot
can you please extract text from the photo,please extract text from the photo
i need to read this document image,please recognize text in this document image
recognize text in this document image,please extract text from this document image
could you recognize text in the scanned document,please extract text from the scanned document
can you help me perform OCR on this document image,please perform OCR on this document image
can you help me convert image to text this document image,please perform OCR on this document image
can you perform OCR on the photo,please extract text from the photo
could you please recognize text in the image,please recognize text in the image
would you perform OCR on the screenshot,please perform OCR on the screenshot
can you get text from the screenshot,please recognize text in the screenshot
please help me convert image to text this image,please perform OCR on this image
could you please read the scanned document,please recognize text in the scanned document
can you get text from the photo,please recognize text in the photo
i need to scan the image,please perform OCR on the image
help me scan the screenshot,please extract text from the screenshot
perform OCR on the scanned document,please extract text from the scanned document
convert image to text the screenshot,please perform OCR on the screenshot
can you get text from the scanned document,please extract text from the scanned document
would you read this image,please recognize text in this image
help me read the photo,please perform OCR on the photo
could you please read this document image,please extract text from this document image
i need to get text from the scanned document,please extract text from the scanned document
could you extract text from the screenshot,please perform OCR on the screenshot
can you help me extract text from this document image,please extract text from this document image
please get text from this document image,please recognize text in this document image
please extract text from the image,please recognize text in the image
can you please extract text from the image,please perform OCR on the image
could you please recognize text in the screenshot,please recognize text in the screenshot
could you please perform OCR on this image,please perform OCR on this image
please scan the screenshot,please recognize text in the screenshot
scan the scanned document,please recognize text in the scanned document
help me convert image to text the photo,please perform OCR on the photo
please perform OCR on the image,please extract text from the image
can you help me extract text from the image,please recognize text in the image
can you help me extract text from the screenshot,please extract text from the screenshot
can you read this document image,please extract text from this document image
help me convert image to text the image,please extract text from the image
could you please extract text from the screenshot,please perform OCR on the screenshot
could you recognize text in the scanned document,please perform OCR on the scanned document
can you get text from this document image,please extract text from this document image
i need to perform OCR on the photo,please recognize text in the photo
can you read the photo,please perform OCR on the photo
get text from the image,please extract text from the image
please help me extract text from the scanned document,please recognize text in the scanned document
could you please get text from this image,please perform OCR on this image
would you read this image,please recognize text in this image
could you read the photo,please extract text from the photo
help me get text from the photo,please recognize text in the photo
help me recognize text in the photo,please extract text from the photo
help me convert image to text the screenshot,please extract text from the screenshot
can you extract text from the image,please recognize text in the image
could you please get text from this image,please extract text from this image
could you please convert image to text this image,please extract text from this image
would you recognize text in the screenshot,please recognize text in the screenshot
could you convert image to text this image,please extract text from this image
would you read the photo,please recognize text in the photo
help me extract text from this image,please recognize text in this image
could you please recognize text in the screenshot,please extract text from the screenshot
help me read the scanned document,please perform OCR on the scanned document
help me perform OCR on the image,please recognize text in the image
please get text from the scanned document,please perform OCR on the scanned document
help me perform OCR on the screenshot,please extract text from the screenshot
please help me scan the image,please perform OCR on the image
could you read the photo,please perform OCR on the photo
can you read the scanned document,please perform OCR on the scanned document
can you please recognize text in the image,please recognize text in the image
convert image to text this image,please extract text from this image
please recognize text in this document image,please extract text from this document image
i need to read the screenshot,please extract text from the screenshot
can you extract text from this image,please extract text from this image
please help me convert image to text the scanned document,please recognize text in the scanned document
i need to recognize text in this image,please recognize text in this image
can you help me scan the scanned document,please recognize text in the scanned document
can you please get text from this image,please perform OCR on this image
help me convert image to text this document image,please extract text from this document image
can you help me recognize text in the screenshot,please perform OCR on the screenshot
help me convert image to text the photo,please perform OCR on the photo
please read this document image,please extract text from this document image
i need to recognize text in the screenshot,please perform OCR on the screenshot
help me recognize text in the photo,please perform OCR on the photo
would you read this document image,please perform OCR on this document image
please help me scan the scanned document,please extract text from the scanned document
could you perform OCR on the screenshot,please recognize text in the screenshot
would you read the image,please recognize text in the image
can you help me perform OCR on the photo,please perform OCR on the photo
please recognize text in the image,please recognize text in the image
help me scan this document image,please perform OCR on this document image
help me recognize text in the screenshot,please perform OCR on the screenshot
i need to extract text from the photo,please extract text from the photo
can you please perform OCR on the scanned document,please perform OCR on the scanned document
can you help me get text from this image,please recognize text in this image
help me read the photo,please extract text from the photo
can you perform OCR on the photo,please extract text from the photo
extract text from this image,please recognize text in this image
can you help me read the scanned document,please recognize text in the scanned document
can you please get text from the image,please recognize text in the image
could you please perform OCR on this document image,please recognize text in this document image
please help me get text from the image,please extract text from the image
would you scan the photo,please perform OCR on the photo
please extract text from this image,please recognize text in this image
perform OCR on the photo,please extract text from the photo
please get text from this document image,please perform OCR on this document image
would you get text from the scanned document,please extract text from the scanned document
i need to read this document image,please recognize text in this document image
would you perform OCR on the photo,please extract text from the photo
could you please get text from this document image,please perform OCR on this document image
could you please get text from this document image,please extract text from this document image
